date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:08	1165/1165	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2018:36:59%20GMT	https://hypebears.online/robots.txt		(from )
20:50:08	15037/15037	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jan%202022%2021:01:13%20GMT	https://hypebears.online/	C:/My%20Web%20Sites/BoredApeClub/hypebears.online/index.html	(from )
20:50:08	8006/8006	---M-Z	200	added ('OK')	text/css	etag:%221f46-61e5f60a-28206acbc92e7201;gz%22	https://hypebears.online/css/normalize.css	C:/My%20Web%20Sites/BoredApeClub/hypebears.online/css/normalize.css	(from https://hypebears.online/)
20:50:08	41771/41771	---M-Z	200	added ('OK')	text/css	etag:%22a32b-61e5f60c-62a5c35eab8058c7;gz%22	https://hypebears.online/css/webflow.css	C:/My%20Web%20Sites/BoredApeClub/hypebears.online/css/webflow.css	(from https://hypebears.online/)
20:50:09	93229/93229	---M-Z	200	added ('OK')	text/css	etag:%2216c2d-61e5f60a-17e3ddd109be7e86;gz%22	https://hypebears.online/css/theroyalcubs.webflow.css	C:/My%20Web%20Sites/BoredApeClub/hypebears.online/css/theroyalcubs.webflow.css	(from https://hypebears.online/)
20:50:09	900/900	---M-Z	200	added ('OK')	text/css	etag:%22384-61e5f60a-8ab8ca75b973a7f8;gz%22	https://hypebears.online/css/style.css	C:/My%20Web%20Sites/BoredApeClub/hypebears.online/css/style.css	(from https://hypebears.online/)
20:50:09	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/BoredApeClub/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://hypebears.online/)
20:50:10	837/837	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jan%202022%2001:26:18%20GMT	https://hypebears.online/images/webclip.html	C:/My%20Web%20Sites/BoredApeClub/hypebears.online/images/webclip.html	(from https://hypebears.online/)
20:50:10	72194/72194	---M--	200	added ('OK')	image/png	etag:%2211a02-61e5f620-369ceafee6594905;;;%22	https://hypebears.online/images/Brand-Logo.png	C:/My%20Web%20Sites/BoredApeClub/hypebears.online/images/Brand-Logo.png	(from https://hypebears.online/)
20:50:10	15037/15037	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jan%202022%2021:01:17%20GMT	https://hypebears.online/index-2.html	C:/My%20Web%20Sites/BoredApeClub/hypebears.online/index-2.html	(from https://hypebears.online/)
